Normal_Distribution,Uniform_Distribution,Exponential_Distribution,Poisson_Distribution
57.450712295168486,30.048954935544185,2.472682368674306,4
47.92603548243223,26.274070420064014,0.37412565838195827,5
59.715328071510385,58.1858149726182,1.1431801916276623,4
72.84544784612038,62.388543589214066,4.137906434050309,1
46.48769937914996,21.895168689538522,16.224506094256462,3
46.487945645762295,76.17273477462139,8.487457425913128,7
73.68819223261087,23.118277019088346,7.188091009880626,6
61.51152093729363,52.47778011806423,3.4741625703664742,10
42.95788421097572,62.54363116705498,26.84632343586216,4
58.13840065378947,72.25814742476513,5.058630265746683,5
43.04873460781307,62.84521592794567,0.9112101011657558,6
43.01405369644615,68.10368498418751,9.59893976209954,6
53.629434073490515,40.367011552568364,1.2085594487066291,8
21.300796330133032,68.88950682479074,4.234607774232656,4
24.126232512304508,24.806890783080508,7.0808202971974605,3
41.56568706138541,73.68899936363167,20.732410022989164,3
34.80753319498364,52.85554256922418,6.80322924655953,9
54.71370998892911,69.03786619774962,12.115305120925102,7
36.37963886718184,47.13909707109801,49.3601574197811,2
28.815444479970626,58.6146617117915,1.4097516591598156,2
71.98473153382331,51.58415965616679,3.212133830469017,4
46.61335549270196,63.89537130531991,5.01826364836475,6
51.012923070318855,24.897798921835374,5.47884185521464,9
28.628777206798148,23.621125039433828,5.293648774062828,11
41.834259132122256,34.82619404060878,23.817473827119144,4
51.663838845647994,29.5726808067913,12.518776161694253,7
32.73509633866546,72.3070139955321,9.362516676317526,7
55.63547027518508,33.15283924148266,3.7015498982939885,3
40.99041965121793,78.55191534914788,17.360809938777113,7
45.62459375310085,40.213747506266415,31.02438393798156,5
40.97440081655905,30.927074941321955,17.214778108650663,2
77.78417276763406,67.38191042854875,0.015663312480417482,9
49.79754162893099,59.52246653005257,10.117046850671212,6
34.13433606566149,49.89174298718834,0.5248914749504456,3
62.338173681547836,53.321813056257874,2.9787682322247564,6
31.687345250434667,63.15210669633583,0.6136989358196631,3
53.132953925071334,33.70728447987793,9.25824668128792,2
20.604948141803366,79.78003496340452,11.602427654447604,8
30.077209266523543,78.487589728807,1.21588861456813,4
52.952918538036855,59.01954118081621,4.842467961493605,5
61.07699869993115,31.972547055748706,6.092408857707893,4
52.57052421784956,60.81369454587748,4.605334481187394,3
48.265275764176394,24.33190453875055,1.289988236641173,4
45.48344456616067,21.839150132348365,5.429146641838808,3
27.822170144488588,35.46097331067282,13.910176897280738,11
39.20233687407937,47.75737740435898,0.7365479050723611,6
43.09041843560319,72.09635032450282,0.8357729556475979,5
65.85683339328374,63.63014418597848,4.381504387364304,5
55.15427434352692,64.56239127199886,28.42594305527841,5
23.55439766955899,45.52960006688452,11.043466388409175,3
54.86125954092192,40.75609955281777,11.352865116996828,6
44.22376579375525,42.262325779076164,4.492915972898056,4
39.84616999541062,79.25897382416346,9.005669785734462,5
59.175144332613016,22.40655148474895,0.10182853752543086,3
65.46499283743927,72.02188976734692,10.108653099260426,7
63.96920178674298,54.7205245143436,24.451508595398124,3
37.41173715166042,46.31692515137543,9.482290438928432,6
45.36181436223178,63.51545962490819,20.690841132375436,7
54.96895147105346,49.200136485482176,12.872567929071607,1
64.63317690683539,72.40539428489964,1.2846813702599704,6
42.81238643232065,74.04211184067552,23.27424115981774,4
47.215115350042744,45.30325561240733,0.687541617901371,2
33.40497538990958,36.60966783410309,7.634998458928469,2
32.05690063878994,55.541019715601735,1.533110102075156,5
62.18788733591297,74.74180073700145,0.11775672614482025,5
70.34360042856234,32.63973134033999,5.482406856437376,3
48.91984817629499,57.37799501380897,3.4961521919037764,5
65.05299346838036,57.89361320555123,6.655329742231592,11
55.424540375714514,63.98678134491686,8.608557570924074,2
40.323203680923136,27.894061107635586,0.4472446625591256,6
55.42093408262621,62.949497880925314,1.3125204388468148,5
73.07054849698955,74.54195123993847,8.178998397282466,3
49.46260941335073,30.78098653221452,4.203260161910579,4
73.4696548372101,34.25259949543266,13.062768385614582,10
10.703823438653835,78.28370564249838,10.563912212517101,1
62.32853756562836,30.858617162569388,18.682368994973682,8
51.30570602357257,71.26310560217475,11.792568641026975,3
45.51488974301199,49.53667138688209,5.619980086040062,5
51.37641164803254,34.833864464190626,11.17693041105615,4
20.186466280986608,72.24499407635068,3.221095199801293,11
46.70492168243732,46.71831530015993,3.657351478809945,3
55.3566885726762,50.88904123578141,15.558268158503171,4
72.16841067112274,41.55400216398594,5.913481289156754,3
42.22594672589529,55.57705108609564,16.013722302693466,3
37.87259595660218,29.811432355101367,17.283474342218728,8
42.47364434623195,43.46489219910564,19.488508322579456,1
63.731031765531114,78.16473934011725,24.84529550993177,5
54.93126664489527,35.48800596206765,5.638488706998093,7
42.05359694349442,59.404199872477534,3.839974241431472,3
57.699011496700344,39.511403853481696,8.727494298500833,7
51.456163240220604,66.40838754119605,4.6389818297259,5
